steam_id,country
76561198174422098,BR
76561198372536962,BR
76561198073518499,BR
76561198307202047,BR
76561198040465633,BR
76561198156320515,BR
76561198138572086,BR
76561197991660785,BR
76561198205746412,BR
76561198021535497,BR
76561197971353428,BR
76561198204841292,BR
76561198211432232,BR
76561198849053221,BR
76561198026786565,BR
76561198056551327,BR
76561198054869651,BR
76561198193946777,BR
76561198077329260,BR
76561198025131072,BR
76561198816672320,BR
76561198344604771,BR
76561198129581352,BR
76561198127071871,BR
76561198327303760,BR
76561198081321902,BR
76561198025484439,BR
76561197985993195,BR
76561198079886254,BR
76561198060201178,BR
76561197970009143,BR
76561198000464990,BR
76561198205931844,BR
76561198876535513,BR
76561198207535305,BR
76561198013790902,BR
76561198097663118,BR
76561197973055702,BR
76561198446717315,BR
76561198154098259,BR
76561198044142385,BR
76561198127566458,BR
76561198184841871,BR
76561197995946369,BR
76561197998411645,BR
76561198151197093,BR
76561198157810575,BR
76561198079340276,BR
76561198014738556,BR
76561198311875519,BR
76561197995770736,BR
76561198053665521,BR
76561198020840240,BR
76561198045810811,BR
76561197995403754,BR
76561198167171579,BR
76561198959867806,BR
76561197965927246,BR
76561197961226780,BR
76561197985897408,BR
76561198144297402,BR
76561198404460163,BR
76561197962401742,BR
76561198051201591,BR
76561198063990605,BR
76561198264098980,BR
76561198068092521,BR
76561197960311862,BR
76561198812578340,BR
76561197977289691,BR
76561198073709362,BR
76561198448480469,BR
76561198144212243,BR
76561198067686988,BR
76561198113595330,BR
76561198011795671,BR
76561198070684098,BR
76561198304775136,BR
76561198079501327,BR
76561197985866567,BR
76561198075507343,BR
76561198064864059,BR
76561198304618881,BR
76561198048174446,BR
76561198094141781,BR
76561198110248158,BR
76561198410739629,BR
76561198377780687,BR
76561198218061735,BR
76561198135505866,BR
76561198272038069,BR
76561198179028418,BR
76561198074555498,BR
76561198123997749,BR
76561198177157338,BR
76561198159478881,BR
76561198152692937,BR
76561198061985815,BR
76561197964771402,BR
76561198098571718,BR
76561198099384592,BR
76561198056731946,BR
76561198207364875,BR
76561199093789319,BR
76561198116107619,BR
76561198094498882,BR
76561197995909575,BR
76561198259091066,BR
76561198024363431,BR
76561198044882926,BR
76561197986688484,BR
76561197997896525,BR
76561198038769938,BR
76561198110136316,BR
76561198094210239,BR
76561198011595325,BR
76561198051554294,BR
76561198091774112,BR
76561198157294080,BR
76561198046610425,BR
76561198302608941,BR
76561198352861173,BR
76561198123238760,BR
76561198074116796,BR
76561198064279115,BR
76561198139877453,BR
76561198257851578,BR
76561198113583802,BR
76561198052118637,BR
76561198012552735,BR
76561198173569913,BR
76561198013999805,BR
76561198256223449,BR
76561198367074704,BR
76561198144763636,BR
76561198072554955,BR
76561198384103772,BR
76561198067234722,BR
76561197999963844,BR
76561198063011192,BR
76561198071946990,BR
76561198063258231,BR
76561198119687917,BR
76561198014242154,BR
76561198047175981,BR
76561197971796373,BR
76561198140053170,BR
76561198077589271,BR
76561198814807026,BR
76561198144077461,BR
76561198067388989,BR
76561198129301706,BR
76561198851060026,BR
76561198093892906,BR
76561197985099519,BR
76561198200735089,BR
76561197963133178,BR
76561198114125240,BR
76561198083407455,BR
76561198336564568,BR
76561198136969425,BR
76561197990111582,BR
76561198189399754,BR
76561198081670434,BR
76561198071065150,BR
76561198310310334,BR
76561198109333868,BR
76561198419648585,BR
76561198055498765,BR
76561198818088921,BR
76561197982383189,BR
76561198097514663,BR
76561198035307720,BR
76561198358228216,BR
76561198255400996,BR
76561197992342768,BR
76561198064468094,BR
76561198353435243,BR
76561197975386458,CL
76561198082546754,CL
76561198093438754,CL
76561198072733781,CL
76561198143391900,CL
76561198147427920,CL
76561198206880608,CL
76561198076732029,CL
76561198036305019,CL
76561197972423497,CL
76561198241990096,CL
76561198108414171,CL
76561198040051009,CL
76561197989916257,CL
76561198266959801,CL
76561198078393624,CL
76561198049258694,CL
76561198041797292,CL
76561199010164828,CL
76561198035712038,CL
76561198130186130,CL
76561198076487207,CL
76561198001632547,CL
76561198119716588,CL
76561198035979045,CL
76561198174433047,CL
76561198119673150,CL
76561198075590187,CL
76561197966757704,CL
76561198340099089,CL
76561198177360479,CL
76561198081632863,CL
76561198843980548,CL
76561198087527554,CL
76561199013995807,CL
76561198330734177,CL
76561198034466001,CL
76561198040304889,CL
76561198438841298,CL
76561198004158320,CL
76561198084279239,CL
76561198041560622,CL
76561198028536530,CL
76561198038187162,CL
76561198320002655,CL
76561198039319515,CL
76561198159967547,CL
76561198097701282,CL
76561198056998140,CL
76561198382130352,CL
76561198174768153,CL
76561198061585046,CL
76561198074104374,CL
76561198001673221,CL
76561198164945333,CL
76561198056501562,CL
76561198220028177,CL
76561198073229052,CL
76561198004955966,CL
76561198084405758,CL
76561198120269406,CL
76561198049557357,CL
76561198309839370,CL
76561198071197821,CL
76561197968306829,CL
76561198275157437,CL
76561197988552169,CL
76561198264063280,CL
76561197961830115,CL
76561198354114823,CL
76561198164900054,CL
76561198032590941,CL
76561198083294736,CL
76561198113065162,CL
76561198041711739,CL
76561197997504195,CL
76561198060858470,CL
76561198029311153,CL
76561198057946695,CL
76561198084385567,CL
76561198012092861,CL
76561198029671352,CL
76561198045717806,CL
76561198028430300,CL
76561198156546356,CL
76561198039241112,CL
76561198046229647,CL
76561198162957358,CL
76561198049686877,CL
76561198039950497,CL
76561198843438781,CL
76561198272849791,CL
76561198145508737,CL
76561198085993070,CL
76561198798195799,CL
76561198053089037,CL
76561198111265802,CL
76561198057643889,CL
76561198014175924,CL
76561197962743298,CL
76561198370238918,CL
76561197967790543,CL
76561198044180589,CL
76561198126161875,CL
76561198215214191,CL
76561198009393772,CL
76561198022848591,CL
76561198050724728,CL
76561198062658255,CL
76561198253342765,CL
76561198020066688,CL
76561198040682471,CL
76561198066002269,CL
76561198106173763,CL
76561198391530540,CL
76561198042814849,CL
76561197961476243,CL
76561197988252563,CL
76561198152344301,CL
76561198108678250,CL
76561198024546290,CL
76561198853011484,CL
76561198340907830,CL
76561198026938244,CL
76561198123637017,CL
76561198093067847,CL
76561198107042978,CL
76561198065816500,CL
76561198047792518,CL
76561198260401084,CL
76561198027594083,CL
76561198208449397,CL
76561198144321484,CL
76561198090640888,CL
76561198083534135,CL
76561198081869646,CL
76561198033733612,CL
76561198055306075,CL
76561198073624375,CL
76561198069757081,CL
76561198041370513,CL
76561198297179693,CL
76561198078660781,CL
76561198080276183,CL
76561199077318539,CL
76561198037840635,CL
76561198052707009,CL
76561198014333539,CL
76561198180451369,CL
76561198190200470,CL
76561198036309691,CL
76561198405554647,CL
76561198026742741,CL
76561198055082676,CL
76561198061112851,CL
76561198025001894,CL
76561198078105114,CL
76561198273788516,CL
76561198027579524,CL
76561198131474582,CL
76561198109733432,CL
76561198840435484,CL
76561198029624305,CL
76561197977612169,CL
76561198309166580,CL
76561198256531297,CL
76561198118456686,CL
76561198118779105,CL
76561198136649709,CL
76561198326958151,CL
76561198054129038,CL
76561198074426610,CL
76561198135730775,CL
